Produto,Unidade,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Grupo,Subgrupo
"DANIMEN, 300 EC",L,RO,2020,"0,00","0,00","178,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","175,00","0,00",Agrotóxico,Acaricida
ENVIDOR,L,SP,2020,"0,00","0,00","525,00","525,00","0,00","0,00","0,00","0,00","0,00","0,00","468,17","0,00",Agrotóxico,Acaricida
"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,SP,2020,"0,00","0,00","11,03","11,03","0,00","0,00","0,00","0,00","0,00","0,00","10,88","0,00",Agrotóxico,Acaricida
"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,BA,2020,"213,99","213,99","213,99","0,00","213,99","213,99","213,99","213,99","213,00","213,00","250,00","250,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,MG,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","95,85","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,ES,2020,"95,20","0,00","96,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","98,00","98,00",Agrotóxico,Acaricida
"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,BA,2020,"0,00","0,00","95,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,00","0,00",Agrotóxico,Acaricida
"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,MG,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","111,80","0,00",Agrotóxico,Acaricida
"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,GO,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1.902,00","0,00",Agrotóxico,Acaricida
VERTIMEC,L,BA,2020,"0,00","0,00","55,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,MG,2020,"29,00","29,00","29,00","30,00","42,40","42,00","42,00","42,00","42,00","32,00","32,00","108,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,DF,2020,"0,00","0,00","0,00","0,00","0,00","102,00","85,00","85,00","85,00","112,00","112,00","112,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RS,2020,"0,00","0,00","75,53","0,00","0,00","0,00","0,00","0,00","0,00","0,00","79,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RJ,2020,"0,00","0,00","70,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,SC,2020,"0,00","0,00","59,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","93,00","0,00",Agrotóxico,Acaricida
"DANIMEN, 300 EC",L,SC,2021,"0,00","0,00","150,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"DANIMEN, 300 EC",L,RO,2021,"0,00","0,00","182,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","185,00","0,00",Agrotóxico,Acaricida
ENVIDOR,L,SP,2021,"0,00","0,00","461,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","407,50","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,SC,2021,"0,00","0,00","572,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,GO,2021,"0,00","0,00","560,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,SP,2021,"0,00","0,00","11,03","0,00","0,00","0,00","0,00","0,00","0,00","0,00","18,18","0,00",Agrotóxico,Acaricida
"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,BA,2021,"250,00","250,00","250,00","250,00","250,00","0,00","250,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,MG,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","95,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,ES,2021,"0,00","0,00","105,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00","101,98","0,00",Agrotóxico,Acaricida
"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,SC,2021,"0,00","0,00","120,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,BA,2021,"0,00","0,00","90,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","91,00","0,00",Agrotóxico,Acaricida
