Grupo,Subgrupo,Produto,Unidade,Regiao,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Agrotóxico,Acaricida,"DANIMEN, 300 EC",L,Norte,RO,2020,0.0,0.0,17800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,0.0
Agrotóxico,Acaricida,ENVIDOR,L,Sudeste,SP,2020,0.0,0.0,52500.0,52500.0,0.0,0.0,0.0,0.0,0.0,0.0,46817.0,0.0
Agrotóxico,Acaricida,"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,Sudeste,SP,2020,0.0,0.0,1103.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,0.0
Agrotóxico,Acaricida,"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,Nordeste,BA,2020,21399.0,21399.0,21399.0,0.0,21399.0,21399.0,21399.0,21399.0,21300.0,21300.0,25000.0,25000.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,MG,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9585.0,0.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,ES,2020,9520.0,0.0,9650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9800.0,9800.0
Agrotóxico,Acaricida,"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,Nordeste,BA,2020,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0,0.0
Agrotóxico,Acaricida,"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,Sudeste,MG,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11180.0,0.0
Agrotóxico,Acaricida,"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,Centro-Oeste,GO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.902,0.0
Agrotóxico,Acaricida,VERTIMEC,L,Nordeste,BA,2020,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,MG,2020,2900.0,2900.0,2900.0,3000.0,4240.0,4200.0,4200.0,4200.0,4200.0,3200.0,3200.0,10800.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,DF,2020,0.0,0.0,0.0,0.0,0.0,10200.0,8500.0,8500.0,8500.0,11200.0,11200.0,11200.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,RS,2020,0.0,0.0,7553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7900.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,RJ,2020,0.0,0.0,7090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
